set,horizon,A,B,scheme,block,point,lo95,lo90,hi90,hi95,p_sign,n
common7,5,pc2_logistic,ou_seqcal,mbb,5.0,0.03723256111450681,-0.09384591554549347,-0.07330669707520848,0.14135159626913926,0.16826155083288633,0.62,2910
common7,5,pc2_logistic,ou_seqcal,mbb,10.0,0.03723256111450681,-0.10538056995789725,-0.08428744265675829,0.16942708062045758,0.1950215552974755,0.748,2910
common7,5,pc2_logistic,ou_seqcal,mbb,20.0,0.03723256111450681,-0.10390038389984144,-0.08696992663290921,0.17365052202113157,0.20559050021818565,0.676,2910
common7,5,pc2_logistic,ou_seqcal,mbb,40.0,0.03723256111450681,-0.08896335306730319,-0.06744597353389276,0.16947987486853314,0.1934072419138374,0.664,2910
common7,5,pc2_logistic,ou_seqcal,mbb,60.0,0.03723256111450681,-0.09330902518870188,-0.07210395257347112,0.1468063027428797,0.17398433589087878,0.56,2910
common7,5,pc2_logistic,ou_seqcal,stationary,10.0,0.03723256111450681,-0.08583709366212033,-0.07204743764195554,0.15452571264832496,0.1815177986991619,0.608,2910
common7,5,pc2_logistic,ou_seqcal,stationary,20.0,0.03723256111450681,-0.0883912369823605,-0.07087612250511742,0.1544595621838921,0.1678990287208942,0.6,2910
common7,5,pc2_logistic,ou_seqcal,stationary,40.0,0.03723256111450681,-0.08638070877060598,-0.07067037378049372,0.13462841929464223,0.15604577899041408,0.692,2910
common7,5,pc2_logistic,ou_seqcal,episode_segments,,0.03723256111450681,-0.13898214356664246,-0.11080933434265212,0.15935889229904626,0.18837980466342427,0.612,2910
common7,5,pc2_gbt,ou_seqcal,mbb,5.0,0.10644791424778369,0.01100492788956068,0.021681664794405614,0.17967433953845174,0.19278043942163875,0.024,2910
common7,5,pc2_gbt,ou_seqcal,mbb,10.0,0.10644791424778369,-0.01445049254158914,0.0069708391530897895,0.20111570717659277,0.20852010075431648,0.088,2910
common7,5,pc2_gbt,ou_seqcal,mbb,20.0,0.10644791424778369,-0.006667423154175522,0.0032255169332722523,0.19200067761914918,0.20901244415098605,0.076,2910
common7,5,pc2_gbt,ou_seqcal,mbb,40.0,0.10644791424778369,-0.012207580409076211,0.004154442518017211,0.20589355055861266,0.21930889480689977,0.088,2910
common7,5,pc2_gbt,ou_seqcal,mbb,60.0,0.10644791424778369,-0.0109481266834076,-0.002110861823806736,0.19230995057927425,0.20216432409847696,0.116,2910
common7,5,pc2_gbt,ou_seqcal,stationary,10.0,0.10644791424778369,-0.00021848215700556836,0.01519370072146672,0.1872756059085353,0.2067802117541593,0.052,2910
common7,5,pc2_gbt,ou_seqcal,stationary,20.0,0.10644791424778369,0.010945235587528265,0.029014258572545883,0.1973543102967923,0.21689005428506392,0.028,2910
common7,5,pc2_gbt,ou_seqcal,stationary,40.0,0.10644791424778369,0.0004097059021846057,0.011643336396935822,0.17520543290416934,0.19428320091309698,0.052,2910
common7,5,pc2_gbt,ou_seqcal,episode_segments,,0.10644791424778369,-0.019575820116984343,-0.0018959556293156616,0.1989234862715669,0.2129380557311894,0.108,2910
common7,5,raw_logistic,ou_seqcal,mbb,5.0,0.0329894189570776,-0.0777450002809896,-0.05864860697425814,0.13525934094859116,0.16539354410841983,0.616,2910
common7,5,raw_logistic,ou_seqcal,mbb,10.0,0.0329894189570776,-0.07765539559218082,-0.06576574715986884,0.17059925011114835,0.1965141915145357,0.564,2910
common7,5,raw_logistic,ou_seqcal,mbb,20.0,0.0329894189570776,-0.08787649296226598,-0.07222277316265721,0.19272453146911872,0.20890301209275108,0.656,2910
common7,5,raw_logistic,ou_seqcal,mbb,40.0,0.0329894189570776,-0.08466865922625372,-0.06661102425021097,0.18204928949015697,0.20660471854650284,0.616,2910
common7,5,raw_logistic,ou_seqcal,mbb,60.0,0.0329894189570776,-0.08938631275044362,-0.07763510646206347,0.15815529489366195,0.17334108930173858,0.588,2910
common7,5,raw_logistic,ou_seqcal,stationary,10.0,0.0329894189570776,-0.08237967475526821,-0.07169953364990908,0.15993392812765966,0.18860916618909218,0.66,2910
common7,5,raw_logistic,ou_seqcal,stationary,20.0,0.0329894189570776,-0.08988162375637138,-0.07793118855439006,0.14549958345726352,0.17408295635967422,0.732,2910
common7,5,raw_logistic,ou_seqcal,stationary,40.0,0.0329894189570776,-0.0877046534941224,-0.07761390378767541,0.14292290361507173,0.17126893856502867,0.66,2910
common7,5,raw_logistic,ou_seqcal,episode_segments,,0.0329894189570776,-0.08764214755833087,-0.07165495008090071,0.15110340780771095,0.17148578750478938,0.552,2910
