tau_c,rep,w,method,AUC,BSS,n,events
5.0,0,1,oracle_pde,0.8093338332528175,0.4216046143318064,4148,838
5.0,0,1,latent_flex,0.7974781705831031,0.4292245648911675,4148,838
5.0,0,1,rolling_flex,0.7974781705831031,0.4292245648911675,4148,838
5.0,0,1,rolling_ou,0.780293318143472,0.3049939175420998,4148,838
5.0,0,5,oracle_pde,0.8093338332528175,0.4218323264197141,4148,838
5.0,0,5,latent_flex,0.7981218770053861,0.4287603407543292,4148,838
5.0,0,5,rolling_flex,0.7848196324149717,0.3949328683650492,4148,838
5.0,0,5,rolling_ou,0.7615322772534232,0.1305383119206268,4148,838
5.0,0,10,oracle_pde,0.8093338332528175,0.4221173213733536,4148,838
5.0,0,10,latent_flex,0.7985469287398425,0.4294975118718053,4148,838
5.0,0,10,rolling_flex,0.7605358031278616,0.3534452808057654,4148,838
5.0,0,10,rolling_ou,0.7381605606789291,0.098886640665629,4148,838
5.0,0,20,oracle_pde,0.8093338332528175,0.4221294122099331,4148,838
5.0,0,20,latent_flex,0.7984429190490956,0.4293928786684048,4148,838
5.0,0,20,rolling_flex,0.7363873486722091,0.2999260652422274,4148,838
5.0,0,20,rolling_ou,0.7108094369416464,0.108569421478922,4148,838
5.0,0,40,oracle_pde,0.8093338332528175,0.4204736732984887,4148,838
5.0,0,40,latent_flex,0.7994714793530849,0.430467124382673,4148,838
5.0,0,40,rolling_flex,0.6942264707366843,0.2226381961225574,4148,838
5.0,0,40,rolling_ou,0.6934198097902501,0.1202985755099549,4148,838
5.0,0,80,oracle_pde,0.8093338332528175,0.4171443732569149,4148,838
5.0,0,80,latent_flex,0.7989831565589196,0.4288250128233231,4148,838
5.0,0,80,rolling_flex,0.6553726322923952,0.1186770252401034,4148,838
5.0,0,80,rolling_ou,0.6807187303967871,0.0884617824653448,4148,838
5.0,1,1,oracle_pde,0.8623474687559942,0.6341253376666038,3739,984
5.0,1,1,latent_flex,0.8489660336712259,0.5988409462447897,3739,984
5.0,1,1,rolling_flex,0.8489660336712259,0.5988409462447897,3739,984
