year,target_q,horizon,AUC,n,events
2008,0.85,5,0.6565328610783157,187,33
2008,0.85,20,0.5969642857142856,187,75
2008,0.9,5,0.6865407319952774,187,33
2008,0.9,20,0.5857142857142856,187,75
2008,0.95,5,0.6923455332546242,187,33
2008,0.95,20,0.6143452380952381,187,75
2009,0.85,5,0.9344405594405595,219,11
2009,0.85,20,0.895628078817734,219,16
2009,0.9,5,0.9449300699300699,219,11
2009,0.9,20,0.9054802955665026,219,16
2009,0.95,5,0.9444930069930071,219,11
2009,0.95,20,0.8999384236453202,219,16
2010,0.85,5,0.9529550827423168,244,9
2010,0.85,20,0.8247159090909091,244,24
2010,0.9,5,0.9680851063829787,244,9
2010,0.9,20,0.8354166666666666,244,24
2010,0.95,5,0.9801418439716312,244,9
2010,0.95,20,0.843560606060606,244,24
2011,0.85,5,0.8051724137931034,237,5
2011,0.85,20,0.5820276497695853,237,20
2011,0.9,5,0.8215517241379311,237,5
2011,0.9,20,0.5875576036866359,237,20
2011,0.95,5,0.835344827586207,237,5
2011,0.95,20,0.595852534562212,237,20
2015,0.85,5,0.7756041426927502,248,11
2015,0.85,20,0.6568519200098147,248,39
2015,0.9,5,0.7790563866513234,248,11
2015,0.9,20,0.657465341675868,248,39
2015,0.95,5,0.7844265439202148,248,11
2015,0.95,20,0.6580787633419212,248,39
2016,0.85,5,0.9646892655367232,242,6
2016,0.85,20,0.9529914529914529,242,8
2016,0.9,5,0.9724576271186441,242,6
2016,0.9,20,0.9588675213675213,242,8
2016,0.95,5,0.9731638418079096,242,6
2016,0.95,20,0.9594017094017093,242,8
2018,0.85,5,0.8176369863013699,235,16
2018,0.85,20,0.5592613529300924,235,61
2018,0.9,5,0.819920091324201,235,16
2018,0.9,20,0.5605803655549274,235,61
2018,0.95,5,0.8204908675799086,235,16
2018,0.95,20,0.5628415300546448,235,61
